ZIP Code,Cases,Cases Per 10000 Residents,Deaths,Number of Records
28226,368,91,3,1
28673,18,27,0,1
27244,42,26,0,1
28732,48,25,0,1
28512,6,16,0,1
27891,18,36,2,1
28804,49,21,5,1
28212,"1,068",250,9,1
28759,32,41,1,1
27932,41,32,1,1
27974,2,15,0,1
28527,2,22,0,1
27935,5,30,1,1
28736,6,81,0,1
27897,35,142,1,1
28771,8,10,0,1
28731,116,125,2,1
28203,250,131,2,1
28448,6,49,0,1
27921,17,32,1,1
28217,"1,124",364,5,1
28745,3,50,0,1
27278,178,65,0,1
27315,3,14,0,1
27252,9,40,1,1
28305,20,40,2,1
27704,949,241,13,1
27545,370,122,18,1
27231,5,24,0,1
28152,151,58,0,1
27710,0,,0,1
